City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Avarua,CK,2022-01-25 15:06:12,-21.2078,-159.775,75.25,100,75,1.14
68,Longyearbyen,SJ,2022-01-25 15:06:12,78.2186,15.6401,17.44,73,40,20.71
69,Atuona,PF,2022-01-25 15:06:13,-9.8,-139.0333,77.68,75,20,16.6
70,Busselton,AU,2022-01-25 15:06:13,-33.65,115.3333,64.04,78,0,15.1
71,Vardo,NO,2022-01-25 15:06:13,70.3705,31.1107,26.8,80,95,35.68
72,Faanui,PF,2022-01-25 15:06:14,-16.4833,-151.75,80.11,78,100,12.44
73,Walvis Bay,NA,2022-01-25 15:06:14,-22.9575,14.5053,72.09,55,25,13.15
74,Port Hedland,AU,2022-01-25 15:06:15,-20.3167,118.5667,86.05,79,40,8.05
75,Coihaique,CL,2022-01-25 15:06:15,-45.5752,-72.0662,64.35,45,20,6.91
76,Klaksvik,FO,2022-01-25 15:06:16,62.2266,-6.589,45.52,78,39,33.22
77,Magadan,RU,2022-01-25 15:06:16,59.5667,150.8,-15.36,84,10,7.52
78,Butaritari,KI,2022-01-25 15:06:17,3.0707,172.7902,81.36,80,42,16.51
79,Kodiak,US,2022-01-25 15:06:17,57.79,-152.4072,29.71,59,0,8.05
80,Castro,BR,2022-01-25 15:01:52,-24.7911,-50.0119,81.61,48,79,0.85
81,Kasongo-Lunda,CD,2022-01-25 15:06:18,-6.4667,16.8167,82.78,78,87,1.5
82,Marovoay,MG,2022-01-25 15:06:18,-16.1,46.6333,73.33,94,100,2.82
83,Thompson,CA,2022-01-25 15:06:19,55.7435,-97.8558,-26.37,97,16,5.23
84,Severo-Kurilsk,RU,2022-01-25 15:06:19,50.6789,156.125,19.89,58,51,5.75
85,Puerto Escondido,MX,2022-01-25 15:06:19,15.85,-97.0667,77.83,83,0,0.0
86,Wajima,JP,2022-01-25 15:06:20,37.4,136.9,38.79,68,99,1.07
87,Akcakoca,TR,2022-01-25 15:06:20,41.0866,31.1162,32.56,91,100,4.74
88,Narsaq,GL,2022-01-25 15:06:21,60.9167,-46.05,21.42,89,100,9.13
89,Ponta Do Sol,PT,2022-01-25 15:06:21,32.6667,-17.1,63.23,52,66,7.81
90,Pevek,RU,2022-01-25 15:06:21,69.7008,170.3133,-22.49,98,100,5.44
91,Port Lincoln,AU,2022-01-25 15:07:22,-34.7333,135.8667,67.26,92,1,2.21
92,Terrace Bay,CA,2022-01-25 15:07:22,48.7834,-87.1,-12.82,99,84,8.81
93,Kavieng,PG,2022-01-25 15:07:23,-2.5744,150.7967,82.99,72,70,9.8
94,La Ronge,CA,2022-01-25 15:07:23,55.1001,-105.2842,-24.72,98,17,4.09
95,Veraval,IN,2022-01-25 15:07:23,20.9,70.3667,67.21,42,0,5.01
96,Wanning,CN,2022-01-25 15:07:23,18.8003,110.3967,71.35,92,57,6.44
97,Mandalgovi,MN,2022-01-25 15:07:24,45.7625,106.2708,-0.44,87,5,8.19
98,Svetlyy,RU,2022-01-25 15:07:24,54.675,20.1347,39.25,91,100,8.59
99,Upata,VE,2022-01-25 15:07:24,8.0086,-62.3989,77.2,60,99,6.82
100,Puerto Quijarro,BO,2022-01-25 15:07:24,-17.7833,-57.7667,95.31,42,99,4.23
101,Maumere,ID,2022-01-25 15:07:25,-8.6199,122.2111,80.53,84,100,11.95
102,Kruisfontein,ZA,2022-01-25 15:07:25,-34.0033,24.7314,70.88,69,98,11.79
103,Vacaria,BR,2022-01-25 15:07:25,-28.5122,-50.9339,90.77,32,89,3.69
104,Lagoa,PT,2022-01-25 15:07:26,39.05,-27.9833,58.77,74,90,7.11
105,Puerto Ayora,EC,2022-01-25 15:07:26,-0.7393,-90.3518,78.76,84,97,9.06
106,Ribeira Grande,PT,2022-01-25 15:07:26,38.5167,-28.7,63.0,59,20,3.44
107,Lebu,CL,2022-01-25 15:07:27,-37.6167,-73.65,65.57,65,0,13.22
108,Ancud,CL,2022-01-25 15:07:27,-41.8697,-73.8203,67.42,63,1,6.49
109,Elko,US,2022-01-25 15:07:28,41.0002,-115.5012,19.42,90,17,2.95
110,Guerrero Negro,MX,2022-01-25 15:07:28,27.9769,-114.0611,57.45,73,34,4.56
111,Mataura,NZ,2022-01-25 15:07:28,-46.1927,168.8643,53.47,93,56,2.35
112,Tasiilaq,GL,2022-01-25 15:07:29,65.6145,-37.6368,19.56,89,38,3.36
113,Ligayan,PH,2022-01-25 15:07:29,4.6533,119.4706,80.69,81,100,14.9
114,Elban,RU,2022-01-25 15:07:29,50.1018,136.5094,-16.8,99,89,1.39
115,Chilca,PE,2022-01-25 15:07:30,-12.5211,-76.7372,76.08,83,54,7.27
116,Pacific Grove,US,2022-01-25 15:07:30,36.6177,-121.9166,48.65,93,100,1.01
